AnimalID,SireID,DamID
PVBPC19G0109496M,PVHTC18G0006047M,PVGSJ18G000A978
PVBPC19G0109464M,PVHTC18G0006030M,PVGSJ18G000C059
PVBPC19G0106596M,0,0
PVBPC19G0109493M,PVHTC18G0006133M,PVGSJ18G000C171
PVBPC19G0109326M,PVGSJ18G0011015M,PVGSJ18G000A147
PVBPC19G0109346M,PVGSJ18G0011119M,PVGSJ18G000A745
PVBPC19G0106497M,0,0
PVBPC19G0109M12M,0,0
PVBPC19G0109397M,PVGSJ18G0011017M,PVGSJ18G000A492
PVBPC19G0109H06M,0,0
PVBPC19G0109291M,PVGSJ18G0011038M,PVGSJ18G000A712
PVBPC19G0109410M,PVGSJ18G0011047M,PVGSJ18G000A429
PVBPC19G0109380M,PVGSJ18G0011114M,PVGSJ18G000A775
PVBPC19G0109019M,PVGSJ18G0011046M,PVGSJ18G000A971
PVBPC19G0109452M,PVGSJ18G0011113M,PVGSJ18G000B259
PVBPC19G0109002M,PVGSJ18G0011019M,PVGSJ18G000A855
PVBPC19G0109220M,PVHTC18G0006131M,PVGSJ18G000A794
PVBPC19G0109M06M,0,0
PVBPC19G0109007M,PVGSJ18G0011037M,PVGSJ18G000A735
PVBPC19G0109442M,PVGSJ18G0011114M,PVGSJ18G000A925
PVBPC19G0109490M,PVHTC18G0006082M,PVGSJ18G000A504
PVBPC19G0109M09M,0,0
PVBPC19G0109438M,PVGSJ18G0011024M,PVGSJ18G000A505
PVBPC19G0109M05M,0,0
PVBPC19G0109432M,PVGSJ18G0011129M,PVGSJ18G000C178
PVBPC19G0109M04M,0,0
PVBPC19G0109462M,PVHTC18G0006043M,PVGSJ18G000C157
PVBPC19G010772S,0,0
PVBPC19G010900S,PVGSJ18G0011017M,PVGSJ18G000A492
PVBPC19G010723S,0,0
PVBPC19G010278S,0,0
PVBPC19G010979S,PVGSJ18G0011043M,PVGSJ18G000A911
PVBPC19G010431S,0,0
PVBPC19G010913S,PVGSJ18G0011047M,PVGSJ18G000A429
PVBPC19G010219S,PVHTC18G0006043M,PVGSJ18G000A532
PVBPC19G010939S,PVGSJ18G0011155M,PVGSJ18G000A492
